account_id,account_name,churn,industry,closed_won_usd,client_tenure_months,deal_status,feature_purchased,sessions_last_30d,region,csat_score,comment_sentiment_score,support_tickets_30d,last_login_days
A00001,"Rodriguez, Figueroa and Sanchez",True,Logistics,9298.25,6.0,Closed -Won,Analytics,8.166228128289317,Europe,,,0.0,1.0273388023052994
A00002,Doyle Ltd,True,MarTech,9127.64,46.0,Closed -Won,API,20.822555090955202,LATAM,,,1.0,3.2334935482459914
A00003,"Mcclain, Miller and Henderson",True,SMB SaaS,7649.86,39.0,Negotiation,Automation,13.300774522642921,North America,,,0.0,1.6879231819312426
A00004,Davis and Sons,True,FinTech,12539.16,26.0,Closed -Won,Premium Support,2.7589421198445487,Asia,,,4.0,25.23044850621111
A00005,"Guzman, Hoffman and Baldwin",True,HealthTech,31530.41,26.0,Closed -Won,Core,6.703918040356639,LATAM,,,2.0,26.97558150645915
A00006,"Gardner, Robinson and Lawrence",True,SMB SaaS,7550.16,51.0,Closed -Won,Core,2.093596707954496,LATAM,,,6.0,16.481373719354515
A00007,Blake and Sons,True,EdTech,8684.31,6.0,Closed -Lost,Core,14.124417609055172,North America,,,1.0,3.8757640278327723
A00008,"Henderson, Ramirez and Lewis",True,EdTech,40271.82,42.0,Closed -Won,Automation,13.81559776643514,LATAM,,,2.0,1.1123701159605788
A00009,Garcia-James,True,Logistics,8526.41,12.0,Closed -Won,Premium Support,2.966221355270362,North America,,,5.0,28.65240615636649
A00010,Abbott-Munoz,True,HealthTech,14846.98,6.0,Closed -Won,Core,14.221390441542281,Asia,,,2.0,2.3644243831678455
A00011,Blair PLC,True,E -Commerce,45505.64,32.0,Negotiation,Core,16.53748497144972,LATAM,,,1.0,2.016863499288711
A00012,Dudley Group,True,EdTech,12787.76,58.0,Closed -Won,Premium Support,13.291164093550433,Europe,,,2.0,2.4001238323252414
A00013,Arnold Ltd,True,HealthTech,54862.36,44.0,Closed -Won,Analytics,17.52259803693245,Asia,,,0.0,2.3905264989670156
