account_id,month,actual_usd,closed_won_usd,churn,active_customer,csat_score,comment_sentiment_score,account_name,industry,contract_length_months,region,client_tenure_months,deal_value_usd,deal_status,feature_purchased,sessions_last_30d,last_login_days,support_tickets_30d,month_period
A00001,2023-01-31,0.0,9298.25,True,False,,,"Rodriguez, Figueroa and Sanchez",Logistics,35.0,Europe,6.0,14472.26,Closed -Won,Analytics,8.166228128289317,1.0273388023052994,0.0,2023-01
A00002,2023-01-31,0.0,9127.64,True,False,,,Doyle Ltd,MarTech,21.0,LATAM,46.0,16908.38,Closed -Won,API,20.822555090955202,3.2334935482459914,1.0,2023-01
A00003,2023-01-31,0.0,7649.86,True,False,,,"Mcclain, Miller and Henderson",SMB SaaS,18.0,North America,39.0,19211.09,Negotiation,Automation,13.300774522642921,1.6879231819312426,0.0,2023-01
A00004,2023-01-31,0.0,12539.16,True,False,,,Davis and Sons,FinTech,8.0,Asia,26.0,13068.02,Closed -Won,Premium Support,2.7589421198445487,25.23044850621111,4.0,2023-01
A00006,2023-01-31,0.0,7550.16,True,False,,,"Gardner, Robinson and Lawrence",SMB SaaS,32.0,LATAM,51.0,14593.38,Closed -Won,Core,2.093596707954496,16.481373719354515,6.0,2023-01
A00009,2023-01-31,0.0,8526.41,True,False,,,Garcia-James,Logistics,21.0,North America,12.0,17258.21,Closed -Won,Premium Support,2.966221355270362,28.65240615636649,5.0,2023-01
A00010,2023-01-31,0.0,14846.98,True,False,,,Abbott-Munoz,HealthTech,22.0,Asia,6.0,17107.53,Closed -Won,Core,14.221390441542281,2.3644243831678455,2.0,2023-01
A00011,2023-01-31,0.0,45505.64,True,False,,,Blair PLC,E -Commerce,18.0,LATAM,32.0,13740.34,Negotiation,Core,16.53748497144972,2.016863499288711,1.0,2023-01
A00013,2023-01-31,0.0,54862.36,True,False,,,Arnold Ltd,HealthTech,8.0,Asia,44.0,11025.08,Closed -Won,Analytics,17.52259803693245,2.3905264989670156,0.0,2023-01
A00014,2023-01-31,0.0,7183.51,True,False,,,"Mcclure, Ward and Lee",SMB SaaS,7.0,Asia,45.0,16916.67,Closed -Won,Analytics,17.39868551567409,3.857104419063244,0.0,2023-01
A00015,2023-01-31,0.0,52934.32,True,False,,,Williams and Sons,HealthTech,20.0,North America,43.0,6872.28,Closed -Won,Core,12.076713851777455,2.5202207318217247,1.0,2023-01
A00017,2023-01-31,0.0,1851.71,True,False,,,James Group,CyberSecurity,22.0,Europe,31.0,7263.17,Closed -Won,Core,3.880353251476821,25.499570343853083,2.0,2023-01
A00018,2023-01-31,0.0,2626.5,True,False,,,"Flowers, Martin and Kelly",Logistics,18.0,North America,8.0,22527.47,Closed -Lost,API,3.4242343861399394,21.276956738832094,6.0,2023-01
A00019,2023-01-31,0.0,10305.49,True,False,,,"Adams, Zuniga and Wong",HealthTech,14.0,LATAM,50.0,14367.0,Closed -Won,API,14.296943667808193,1.0431530263770141,0.0,2023-01
A00020,2023-01-31,0.0,17500.27,True,False,,,"Reid, Ferguson and Sanchez",CyberSecurity,27.0,LATAM,27.0,9589.75,Closed -Won,Core,14.207947252823377,2.1090039895795942,0.0,2023-01
A00021,2023-01-31,0.0,13313.75,True,False,,,Gray-Mayo,E -Commerce,24.0,LATAM,30.0,24749.52,Closed -Won,API,6.1095999300244745,4.883283555780828,2.0,2023-01
A00022,2023-01-31,0.0,34497.09,True,False,,,"Watts, Robinson and Nguyen",Logistics,7.0,North America,22.0,11899.49,Negotiation,Core,4.355614834654363,33.33855529064691,4.0,2023-01
A00023,2023-01-31,0.0,20354.14,True,False,,,Perez Inc,HealthTech,19.0,Asia,11.0,17103.83,Closed -Won,Core,9.908160585012638,2.2331469963354516,2.0,2023-01
A00025,2023-01-31,0.0,16427.68,True,False,,,"Walter, Edwards and Rios",E -Commerce,29.0,LATAM,47.0,18175.24,Closed -Won,Core,18.7582489751636,1.7719109575127974,1.0,2023-01
A00026,2023-01-31,0.0,10807.29,True,False,,,Wilkerson-Day,Logistics,14.0,North America,38.0,14940.29,Closed -Won,Premium Support,16.555814997366763,1.795480738932569,1.0,2023-01
A00027,2023-01-31,0.0,21036.92,True,False,,,Baker and Sons,EdTech,33.0,Europe,24.0,12012.72,Negotiation,Core,13.284597687983334,2.0914097731614834,2.0,2023-01
A00028,2023-01-31,0.0,7857.99,True,False,,,"Hoffman, Baker and Richards",SMB SaaS,25.0,LATAM,49.0,9657.21,Closed -Won,Core,10.975955190188905,1.7479967245354686,0.0,2023-01
A00029,2023-01-31,0.0,21281.81,True,False,,,"Ross, Robinson and Bright",CyberSecurity,19.0,LATAM,33.0,12162.67,Closed -Won,Automation,5.0433755738709785,17.38805543530207,4.0,2023-01
A00031,2023-01-31,0.0,10533.2,True,False,,,Burton Ltd,SMB SaaS,32.0,Asia,27.0,7953.98,Closed -Won,Core,11.923407840440118,4.022392818747079,1.0,2023-01
A00032,2023-01-31,0.0,33860.55,True,False,,,Carlson-Cruz,Logistics,12.0,Asia,14.0,17937.48,Closed -Won,Core,6.933213936841809,1.7479862567026485,2.0,2023-01
A00033,2023-01-31,0.0,45190.46,True,False,,,"Ferrell, Rice and Maddox",EdTech,10.0,LATAM,6.0,19464.89,Negotiation,Core,6.833853583000657,35.33201057407344,3.0,2023-01
A00034,2023-01-31,0.0,16952.16,True,False,,,Frazier Inc,E -Commerce,19.0,Europe,33.0,12277.01,Closed -Won,Core,18.50150934085368,1.3309639001567832,0.0,2023-01
A00036,2023-01-31,0.0,11571.43,True,False,,,Rodriguez-Graham,E -Commerce,31.0,North America,4.0,16452.19,Closed -Won,Analytics,17.115044012747987,2.7334677873513344,0.0,2023-01
A00037,2023-01-31,0.0,11488.77,True,False,,,Smith-Bowen,SMB SaaS,35.0,LATAM,51.0,15620.97,Closed -Won,Core,17.604559031704344,2.4192602365321703,1.0,2023-01
A00038,2023-01-31,0.0,792.24,True,False,,,"Baker, Mason and White",SMB SaaS,24.0,North America,49.0,10998.35,Closed -Won,Automation,14.158802222160626,0.9726646437814801,3.0,2023-01
A00040,2023-01-31,0.0,18864.68,True,False,,,"Romero, Gonzalez and Brooks",SMB SaaS,8.0,LATAM,38.0,3969.57,Closed -Won,Analytics,14.08364312450004,3.6861729857461807,1.0,2023-01
A00042,2023-01-31,0.0,27103.46,True,False,,,George Group,CyberSecurity,19.0,Asia,45.0,14387.95,Closed -Won,Core,13.594189830301248,2.6409021702125046,1.0,2023-01
A00043,2023-01-31,0.0,5963.27,True,False,,,Rodriguez LLC,Logistics,14.0,LATAM,42.0,20317.66,Closed -Won,Analytics,13.457491643781154,1.0553286698186977,1.0,2023-01
A00044,2023-01-31,0.0,1946.73,True,False,,,Allen-Allen,MarTech,15.0,Asia,21.0,16015.54,Closed -Won,Core,11.107645882945032,3.008383235601769,2.0,2023-01
