account_id,account_name,industry,customer_type,contract_length_months,client_tenure_months,deal_value_usd,deal_status
A00001,"Rodriguez, Figueroa and Sanchez",FinTech,New,22,51,16190.56,Closed‑Won
A00002,Doyle Ltd,Logistics,New,22,5,17934.75,Closed‑Won
A00003,"Mcclain, Miller and Henderson",CyberSecurity,Expansion,13,32,17455.28,Closed‑Lost
A00004,Davis and Sons,MarTech,Expansion,20,50,9198.05,Closed‑Lost
A00005,"Guzman, Hoffman and Baldwin",MarTech,New,9,26,21366.04,Closed‑Won
A00006,"Gardner, Robinson and Lawrence",Logistics,New,25,31,12032.57,Closed‑Won
A00007,Blake and Sons,FinTech,Expansion,28,30,10669.11,Closed‑Won
A00008,"Henderson, Ramirez and Lewis",CyberSecurity,Expansion,34,54,17124.52,Closed‑Won
A00009,Garcia-James,HealthTech,New,15,3,11661.4,Closed‑Won
A00010,Abbott-Munoz,FinTech,New,14,52,14996.22,Closed‑Won
A00011,Blair PLC,E‑Commerce,Expansion,22,49,13009.35,Closed‑Won
A00012,Dudley Group,SMB SaaS,Expansion,26,48,20316.98,Closed‑Won
A00013,Arnold Ltd,CyberSecurity,Expansion,35,25,10730.44,Closed‑Won
A00014,"Mcclure, Ward and Lee",Logistics,New,6,31,16665.26,Negotiation
A00015,Williams and Sons,CyberSecurity,New,13,22,14044.43,Closed‑Won
A00016,Galloway-Wyatt,Logistics,Expansion,13,15,12338.74,Closed‑Lost
A00017,James Group,E‑Commerce,Expansion,13,52,23191.83,Closed‑Won
A00018,"Flowers, Martin and Kelly",HealthTech,Expansion,19,30,12396.62,Closed‑Won
A00019,"Adams, Zuniga and Wong",Logistics,New,32,43,8557.85,Closed‑Won
A00020,"Reid, Ferguson and Sanchez",MarTech,New,6,6,15852.37,Closed‑Won
A00021,Gray-Mayo,E‑Commerce,Expansion,30,47,12017.57,Closed‑Won
A00022,"Watts, Robinson and Nguyen",EdTech,New,24,39,17460.14,Closed‑Won
A00023,Perez Inc,HealthTech,Expansion,24,59,13682.1,Negotiation
A00024,Morales-Jones,SMB SaaS,New,26,8,15592.57,Closed‑Won
A00025,"Walter, Edwards and Rios",Logistics,Expansion,9,32,10606.29,Closed‑Lost
A00026,Wilkerson-Day,CyberSecurity,Expansion,28,31,12288.67,Closed‑Won
A00027,Baker and Sons,MarTech,New,13,32,14644.47,Negotiation
A00028,"Hoffman, Baker and Richards",Logistics,New,21,4,14856.42,Closed‑Won
A00029,"Ross, Robinson and Bright",E‑Commerce,New,26,28,14149.9,Closed‑Won
A00030,"Snyder, Campos and Callahan",MarTech,New,24,18,7337.15,Closed‑Won
A00031,Burton Ltd,MarTech,New,15,37,15477.46,On‑Hold
A00032,Carlson-Cruz,HealthTech,New,17,14,15065.88,Closed‑Lost
A00033,"Ferrell, Rice and Maddox",FinTech,Expansion,20,26,15080.46,Closed‑Won
A00034,Frazier Inc,E‑Commerce,New,7,37,17567.91,Closed‑Lost
A00035,"Dyer, Potter and Mack",SMB SaaS,New,27,4,16111.03,On‑Hold
A00036,Rodriguez-Graham,FinTech,New,8,47,14285.41,Negotiation
A00037,Smith-Bowen,Logistics,New,19,43,19787.93,Closed‑Won
A00038,"Baker, Mason and White",Logistics,New,25,4,13140.74,Closed‑Won
A00039,Harrell LLC,EdTech,New,8,4,11364.73,Closed‑Won
A00040,"Romero, Gonzalez and Brooks",CyberSecurity,New,35,51,14946.82,Negotiation
A00041,Ryan PLC,HealthTech,New,17,17,18265.65,Closed‑Won
A00042,George Group,Logistics,Expansion,6,51,19961.68,Closed‑Won
A00043,Rodriguez LLC,CyberSecurity,New,25,30,12621.59,Closed‑Won
A00044,Allen-Allen,EdTech,New,22,21,14925.32,Negotiation
A00045,"Arroyo, Miller and Tucker",FinTech,Expansion,25,17,17259.1,Closed‑Won
A00046,Spence PLC,SMB SaaS,Expansion,28,39,15968.01,Closed‑Won
A00047,Anderson Group,MarTech,New,20,7,12992.91,Closed‑Won
A00048,"Martin, Rose and Obrien",SMB SaaS,New,30,24,14150.24,Closed‑Won
A00049,Hickman Ltd,CyberSecurity,New,17,21,11757.55,Negotiation
A00050,"Harris, Collins and Carney",Logistics,New,22,10,11616.13,Closed‑Won
A00051,"Brooks, Lam and Hayes",Logistics,New,10,21,14084.66,Closed‑Won
A00052,Walker LLC,HealthTech,New,24,32,16839.77,Closed‑Won
A00053,Chapman and Sons,EdTech,New,13,40,16487.46,Closed‑Won
A00054,"Robinson, Jones and Welch",MarTech,New,26,6,11828.59,Closed‑Lost
A00055,Jones Inc,MarTech,Expansion,30,52,11146.62,Closed‑Won
A00056,Jones-Young,FinTech,New,31,52,12259.7,Closed‑Won
A00057,"Washington, Ryan and Cummings",E‑Commerce,New,33,41,6342.05,Closed‑Won
A00058,"Johnston, Sanchez and Kennedy",HealthTech,New,9,55,18566.94,Closed‑Won
A00059,Lee-Davis,CyberSecurity,New,10,26,12240.95,Closed‑Won
A00060,Gomez-Jenkins,CyberSecurity,New,33,49,20562.11,Closed‑Won
A00061,"Brown, Valdez and Lucas",SMB SaaS,Expansion,17,43,17520.68,Closed‑Won
A00062,Powell LLC,CyberSecurity,Expansion,6,34,19687.93,Closed‑Won
A00063,Wright and Sons,EdTech,Expansion,14,11,21078.43,Closed‑Won
A00064,"West, Henderson and Ramirez",SMB SaaS,Expansion,31,33,9952.25,Closed‑Won
A00065,Baxter Inc,MarTech,Expansion,16,54,6797.24,Negotiation
A00066,Morton-Chase,EdTech,Expansion,8,59,16113.28,Closed‑Won
A00067,Williams PLC,SMB SaaS,New,27,27,13520.21,Closed‑Won
A00068,Novak and Sons,EdTech,New,11,15,13865.31,On‑Hold
A00069,Russell Group,FinTech,New,16,45,15329.45,Closed‑Won
A00070,Hancock Inc,MarTech,New,6,5,10737.16,Closed‑Won
A00071,Gray Group,Logistics,New,24,9,10617.95,Closed‑Won
A00072,House-Glover,HealthTech,Expansion,19,34,11059.84,Closed‑Won
A00073,Henderson-Bernard,MarTech,New,32,59,16072.04,Closed‑Won
