account_id,month,closed_won_usd,churned_usd,actual_usd,churn,active_customer
A00001,2025-01-31,2728.38,0.0,2728.38,0,1
A00002,2025-01-31,3837.58,3837.58,0.0,1,0
A00003,2025-01-31,913.72,913.72,0.0,1,0
A00004,2025-01-31,4451.32,0.0,4451.32,0,1
A00005,2025-01-31,1867.34,0.0,1867.34,0,1
A00006,2025-01-31,2801.48,0.0,2801.48,0,1
A00007,2025-01-31,3707.39,0.0,3707.39,0,1
A00008,2025-01-31,1543.27,0.0,1543.27,0,1
A00009,2025-01-31,1656.78,1656.78,0.0,1,0
A00010,2025-01-31,12241.94,0.0,12241.94,0,1
A00011,2025-01-31,2516.11,0.0,2516.11,0,1
A00012,2025-01-31,1830.08,0.0,1830.08,0,1
A00013,2025-01-31,1273.25,0.0,1273.25,0,1
A00014,2025-01-31,6806.62,6806.62,0.0,1,0
A00015,2025-01-31,2567.38,0.0,2567.38,0,1
A00016,2025-01-31,2826.13,0.0,2826.13,0,1
A00017,2025-01-31,2184.71,2184.71,0.0,1,0
A00018,2025-01-31,4916.75,0.0,4916.75,0,1
A00019,2025-01-31,880.07,0.0,880.07,0,1
A00020,2025-01-31,2032.28,0.0,2032.28,0,1
A00021,2025-01-31,2464.32,0.0,2464.32,0,1
A00022,2025-01-31,1338.91,0.0,1338.91,0,1
A00023,2025-01-31,2191.44,2191.44,0.0,1,0
A00024,2025-01-31,1906.51,0.0,1906.51,0,1
A00025,2025-01-31,2765.13,0.0,2765.13,0,1
A00026,2025-01-31,3276.29,0.0,3276.29,0,1
A00027,2025-01-31,3239.62,0.0,3239.62,0,1
A00028,2025-01-31,596.33,596.33,0.0,1,0
A00029,2025-01-31,650.41,650.41,0.0,1,0
A00030,2025-01-31,2093.54,2093.54,0.0,1,0
A00031,2025-01-31,1707.09,0.0,1707.09,0,1
A00032,2025-01-31,757.93,0.0,757.93,0,1
A00033,2025-01-31,271.09,0.0,271.09,0,1
A00034,2025-01-31,2001.45,2001.45,0.0,1,0
A00035,2025-01-31,4172.93,0.0,4172.93,0,1
A00036,2025-01-31,1810.68,0.0,1810.68,0,1
A00037,2025-01-31,6665.35,0.0,6665.35,0,1
A00038,2025-01-31,1735.68,1735.68,0.0,1,0
A00039,2025-01-31,4692.78,4692.78,0.0,1,0
A00040,2025-01-31,3274.88,0.0,3274.88,0,1
A00041,2025-01-31,1710.58,0.0,1710.58,0,1
A00042,2025-01-31,2344.86,0.0,2344.86,0,1
A00043,2025-01-31,147.04,0.0,147.04,0,1
A00044,2025-01-31,2706.23,2706.23,0.0,1,0
A00045,2025-01-31,975.7,0.0,975.7,0,1
A00046,2025-01-31,1427.01,1427.01,0.0,1,0
