"account_id","account_name","industry","customer_type","contract_length_months","region","client_tenure_months","deal_value_usd","deal_status"
"A00001","Rodriguez, Figueroa and Sanchez","Logistics","Expansion","35","Europe","6","14472.26","Closed -Won"
"A00002","Doyle Ltd","MarTech","New","21","LATAM","46","16908.38","Closed -Won"
"A00003","Mcclain, Miller and Henderson","SMB SaaS","New","18","North America","39","19211.09","Negotiation"
"A00004","Davis and Sons","FinTech","New","8","Asia","26","13068.02","Closed -Won"
"A00005","Guzman, Hoffman and Baldwin","HealthTech","New","14","LATAM","26","13239.5","Closed -Won"
"A00006","Gardner, Robinson and Lawrence","SMB SaaS","New","32","LATAM","51","14593.38","Closed -Won"
"A00007","Blake and Sons","EdTech","New","19","North America","6","22024.11","Closed -Lost"
"A00008","Henderson, Ramirez and Lewis","EdTech","Expansion","33","LATAM","42","20368.75","Closed -Won"
"A00009","Garcia-James","Logistics","New","21","North America","12","17258.21","Closed -Won"
"A00010","Abbott-Munoz","HealthTech","New","22","Asia","6","17107.53","Closed -Won"
"A00011","Blair PLC","E -Commerce","New","18","LATAM","32","13740.34","Negotiation"
"A00012","Dudley Group","EdTech","Expansion","22","Europe","58","18088.82","Closed -Won"
"A00013","Arnold Ltd","HealthTech","New","8","Asia","44","11025.08","Closed -Won"
"A00014","Mcclure, Ward and Lee","SMB SaaS","New","7","Asia","45","16916.67","Closed -Won"
"A00015","Williams and Sons","HealthTech","New","20","North America","43","6872.28","Closed -Won"
"A00016","Galloway-Wyatt","FinTech","New","23","North America","47","8438.2","Closed -Won"
"A00017","James Group","CyberSecurity","New","22","Europe","31","7263.17","Closed -Won"
"A00018","Flowers, Martin and Kelly","Logistics","New","18","North America","8","22527.47","Closed -Lost"
"A00019","Adams, Zuniga and Wong","HealthTech","New","14","LATAM","50","14367.0","Closed -Won"
"A00020","Reid, Ferguson and Sanchez","CyberSecurity","Expansion","27","LATAM","27","9589.75","Closed -Won"
"A00021","Gray-Mayo","E -Commerce","New","24","LATAM","30","24749.52","Closed -Won"
"A00022","Watts, Robinson and Nguyen","Logistics","New","7","North America","22","11899.49","Negotiation"
"A00023","Perez Inc","HealthTech","New","19","Asia","11","17103.83","Closed -Won"
"A00024","Morales-Jones","SMB SaaS","Expansion","27","Asia","55","11866.74","Closed -Won"
"A00025","Walter, Edwards and Rios","E -Commerce","Expansion","29","LATAM","47","18175.24","Closed -Won"
"A00026","Wilkerson-Day","Logistics","Expansion","14","North America","38","14940.29","Closed -Won"
"A00027","Baker and Sons","EdTech","New","33","Europe","24","12012.72","Negotiation"
"A00028","Hoffman, Baker and Richards","SMB SaaS","New","25","LATAM","49","9657.21","Closed -Won"
"A00029","Ross, Robinson and Bright","CyberSecurity","Expansion","19","LATAM","33","12162.67","Closed -Won"
"A00030","Snyder, Campos and Callahan","HealthTech","Expansion","24","North America","27","10979.86","Closed -Won"
"A00031","Burton Ltd","SMB SaaS","New","32","Asia","27","7953.98","Closed -Won"
"A00032","Carlson-Cruz","Logistics","New","12","Asia","14","17937.48","Closed -Won"
"A00033","Ferrell, Rice and Maddox","EdTech","New","10","LATAM","6","19464.89","Negotiation"
"A00034","Frazier Inc","E -Commerce","Expansion","19","Europe","33","12277.01","Closed -Won"
"A00035","Dyer, Potter and Mack","MarTech","New","8","LATAM","53","6669.59","Closed -Won"
"A00036","Rodriguez-Graham","E -Commerce","New","31","North America","4","16452.19","Closed -Won"
"A00037","Smith-Bowen","SMB SaaS","New","35","LATAM","51","15620.97","Closed -Won"
"A00038","Baker, Mason and White","SMB SaaS","New","24","North America","49","10998.35","Closed -Won"
"A00039","Harrell LLC","HealthTech","New","35","North America","17","14763.08","Closed -Won"
"A00040","Romero, Gonzalez and Brooks","SMB SaaS","New","8","LATAM","38","3969.57","Closed -Won"
"A00041","Ryan PLC","MarTech","Expansion","24","LATAM","10","15033.07","Negotiation"
"A00042","George Group","CyberSecurity","New","19","Asia","45","14387.95","Closed -Won"
"A00043","Rodriguez LLC","Logistics","New","14","LATAM","42","20317.66","Closed -Won"
"A00044","Allen-Allen","MarTech","New","15","Asia","21","16015.54","Closed -Won"
"A00045","Arroyo, Miller and Tucker","MarTech","New","22","Asia","5","15363.46","Negotiation"
"A00046","Spence PLC","MarTech","New","25","Europe","58","22856.53","Closed -Won"
"A00047","Anderson Group","Logistics","New","10","Asia","27","11825.49","Closed -Won"
"A00048","Martin, Rose and Obrien","MarTech","New","24","Europe","53","9016.25","Closed -Won"
"A00049","Hickman Ltd","EdTech","Expansion","33","LATAM","40","18651.81","Closed -Won"
"A00050","Harris, Collins and Carney","EdTech","New","6","North America","46","19181.33","Closed -Won"
"A00051","Brooks, Lam and Hayes","HealthTech","New","32","North America","45","19276.74","Closed -Won"
"A00052","Walker LLC","MarTech","New","24","LATAM","12","14068.34","Closed -Won"
"A00053","Chapman and Sons","FinTech","Expansion","16","Europe","22","12155.52","Negotiation"
"A00054","Robinson, Jones and Welch","FinTech","New","28","LATAM","28","10027.57","Negotiation"
