account_id,month,closed_won_usd,churned_usd,actual_usd,churn,active_customer
A00001,2023-01-31,9298.25,9298.25,0.0,1,0
A00002,2023-01-31,9127.64,9127.64,0.0,1,0
A00003,2023-01-31,7649.86,7649.86,0.0,1,0
A00004,2023-01-31,12539.16,12539.16,0.0,1,0
A00005,2023-01-31,31530.41,31530.41,0.0,1,0
A00006,2023-01-31,7550.16,7550.16,0.0,1,0
A00007,2023-01-31,8684.31,8684.31,0.0,1,0
A00008,2023-01-31,40271.82,40271.82,0.0,1,0
A00009,2023-01-31,8526.41,8526.41,0.0,1,0
A00010,2023-01-31,14846.98,14846.98,0.0,1,0
A00011,2023-01-31,45505.64,45505.64,0.0,1,0
A00012,2023-01-31,12787.76,12787.76,0.0,1,0
A00013,2023-01-31,54862.36,54862.36,0.0,1,0
A00014,2023-01-31,7183.51,7183.51,0.0,1,0
A00015,2023-01-31,52934.32,52934.32,0.0,1,0
A00016,2023-01-31,12394.25,12394.25,0.0,1,0
A00017,2023-01-31,1851.71,1851.71,0.0,1,0
A00018,2023-01-31,2626.5,2626.5,0.0,1,0
A00019,2023-01-31,10305.49,10305.49,0.0,1,0
A00020,2023-01-31,17500.27,17500.27,0.0,1,0
A00021,2023-01-31,13313.75,13313.75,0.0,1,0
A00022,2023-01-31,34497.09,34497.09,0.0,1,0
A00023,2023-01-31,20354.14,20354.14,0.0,1,0
A00024,2023-01-31,11859.74,11859.74,0.0,1,0
A00025,2023-01-31,16427.68,16427.68,0.0,1,0
A00026,2023-01-31,10807.29,10807.29,0.0,1,0
A00027,2023-01-31,21036.92,21036.92,0.0,1,0
A00028,2023-01-31,7857.99,7857.99,0.0,1,0
A00029,2023-01-31,21281.81,21281.81,0.0,1,0
A00030,2023-01-31,12956.45,12956.45,0.0,1,0
A00031,2023-01-31,10533.2,10533.2,0.0,1,0
A00032,2023-01-31,33860.55,33860.55,0.0,1,0
A00033,2023-01-31,45190.46,45190.46,0.0,1,0
A00034,2023-01-31,16952.16,16952.16,0.0,1,0
A00035,2023-01-31,11354.3,11354.3,0.0,1,0
A00036,2023-01-31,11571.43,11571.43,0.0,1,0
A00037,2023-01-31,11488.77,11488.77,0.0,1,0
A00038,2023-01-31,792.24,792.24,0.0,1,0
A00039,2023-01-31,22806.31,22806.31,0.0,1,0
A00040,2023-01-31,18864.68,18864.68,0.0,1,0
A00041,2023-01-31,15770.73,15770.73,0.0,1,0
A00042,2023-01-31,27103.46,27103.46,0.0,1,0
A00043,2023-01-31,5963.27,5963.27,0.0,1,0
A00044,2023-01-31,1946.73,1946.73,0.0,1,0
A00045,2023-01-31,11130.92,11130.92,0.0,1,0
A00046,2023-01-31,24019.83,24019.83,0.0,1,0
A00047,2023-01-31,16689.27,16689.27,0.0,1,0
A00048,2023-01-31,13447.12,13447.12,0.0,1,0
A00049,2023-01-31,46426.58,46426.58,0.0,1,0
A00050,2023-01-31,36323.51,36323.51,0.0,1,0
A00051,2023-01-31,25792.24,25792.24,0.0,1,0
A00052,2023-01-31,12846.3,12846.3,0.0,1,0
A00053,2023-01-31,75439.12,75439.12,0.0,1,0
A00054,2023-01-31,6420.2,6420.2,0.0,1,0
A00055,2023-01-31,31175.85,31175.85,0.0,1,0
A00056,2023-01-31,32719.66,32719.66,0.0,1,0
A00057,2023-01-31,10545.09,10545.09,0.0,1,0
A00058,2023-01-31,37520.61,37520.61,0.0,1,0
A00059,2023-01-31,5977.97,5977.97,0.0,1,0
A00060,2023-01-31,20462.29,20462.29,0.0,1,0
A00061,2023-01-31,30005.83,30005.83,0.0,1,0
A00062,2023-01-31,19774.55,19774.55,0.0,1,0
A00063,2023-01-31,4159.45,4159.45,0.0,1,0
A00064,2023-01-31,29596.11,29596.11,0.0,1,0
A00065,2023-01-31,36353.4,36353.4,0.0,1,0
A00066,2023-01-31,17769.41,17769.41,0.0,1,0
A00067,2023-01-31,3057.46,3057.46,0.0,1,0
A00068,2023-01-31,17007.47,17007.47,0.0,1,0
A00069,2023-01-31,9808.64,9808.64,0.0,1,0
A00070,2023-01-31,16314.24,16314.24,0.0,1,0
A00071,2023-01-31,25427.24,25427.24,0.0,1,0
A00072,2023-01-31,5547.15,5547.15,0.0,1,0
A00073,2023-01-31,41386.38,41386.38,0.0,1,0
A00074,2023-01-31,12398.03,12398.03,0.0,1,0
A00075,2023-01-31,18028.73,18028.73,0.0,1,0
A00076,2023-01-31,10701.13,10701.13,0.0,1,0
A00077,2023-01-31,25422.5,25422.5,0.0,1,0
A00078,2023-01-31,41372.92,41372.92,0.0,1,0
A00079,2023-01-31,8253.76,8253.76,0.0,1,0
A00080,2023-01-31,23107.96,23107.96,0.0,1,0
A00081,2023-01-31,9248.43,9248.43,0.0,1,0
A00082,2023-01-31,25001.03,25001.03,0.0,1,0
A00083,2023-01-31,16021.46,16021.46,0.0,1,0
A00084,2023-01-31,28841.17,28841.17,0.0,1,0
A00085,2023-01-31,19133.27,19133.27,0.0,1,0
A00086,2023-01-31,57037.97,57037.97,0.0,1,0
A00087,2023-01-31,10773.83,10773.83,0.0,1,0
A00088,2023-01-31,5078.74,5078.74,0.0,1,0
A00089,2023-01-31,10076.47,10076.47,0.0,1,0
A00090,2023-01-31,10213.62,10213.62,0.0,1,0
A00091,2023-01-31,14526.44,14526.44,0.0,1,0
A00092,2023-01-31,11710.85,11710.85,0.0,1,0
A00093,2023-01-31,18038.08,18038.08,0.0,1,0
