account_id,date,feature_purchased,sessions_last_30d,last_login_days,support_tickets_30d
A00001,2025-01-31,Analytics,6,29,0
A00002,2025-01-31,Analytics,11,21,1
A00003,2025-01-31,Analytics,7,4,1
A00004,2025-01-31,Core,9,25,0
A00005,2025-01-31,Core,7,1,2
A00006,2025-01-31,Core,9,28,0
A00007,2025-01-31,API,3,12,1
A00008,2025-01-31,API,9,9,0
A00009,2025-01-31,Core,6,1,0
A00010,2025-01-31,Premium Support,3,28,1
A00011,2025-01-31,Automation,4,17,0
A00012,2025-01-31,Core,7,18,1
A00013,2025-01-31,Premium Support,9,26,1
A00014,2025-01-31,Core,3,15,0
A00015,2025-01-31,API,7,8,0
A00016,2025-01-31,API,4,24,0
A00017,2025-01-31,API,4,16,0
A00018,2025-01-31,Premium Support,2,7,1
A00019,2025-01-31,Premium Support,9,26,0
A00020,2025-01-31,Analytics,7,25,0
A00021,2025-01-31,API,5,7,0
A00022,2025-01-31,Premium Support,10,20,0
A00023,2025-01-31,Automation,13,28,0
A00024,2025-01-31,Premium Support,8,24,0
A00025,2025-01-31,API,12,6,0
A00026,2025-01-31,Analytics,5,26,0
A00027,2025-01-31,API,8,1,0
A00028,2025-01-31,Premium Support,6,19,0
A00029,2025-01-31,Premium Support,5,15,0
A00030,2025-01-31,Automation,11,1,1
A00031,2025-01-31,Automation,6,22,0
A00032,2025-01-31,API,15,9,1
A00033,2025-01-31,Analytics,10,26,1
A00034,2025-01-31,API,10,27,2
A00035,2025-01-31,API,7,18,0
A00036,2025-01-31,Premium Support,7,19,1
A00037,2025-01-31,API,7,1,0
A00038,2025-01-31,Automation,8,27,0
A00039,2025-01-31,Core,6,21,0
A00040,2025-01-31,Automation,13,11,1
A00041,2025-01-31,API,11,2,0
A00042,2025-01-31,Premium Support,5,15,0
A00043,2025-01-31,API,5,27,0
A00044,2025-01-31,API,6,26,0
A00045,2025-01-31,Core,6,3,1
A00046,2025-01-31,Premium Support,5,23,1
A00047,2025-01-31,Automation,10,2,0
A00048,2025-01-31,Premium Support,6,11,1
A00049,2025-01-31,Core,6,13,3
A00050,2025-01-31,Analytics,7,0,0
A00051,2025-01-31,Premium Support,6,4,0
A00052,2025-01-31,Core,11,27,1
A00053,2025-01-31,API,5,19,1
A00054,2025-01-31,API,11,24,1
A00055,2025-01-31,Premium Support,9,17,1
A00056,2025-01-31,Premium Support,6,13,0
A00057,2025-01-31,Premium Support,6,0,1
A00058,2025-01-31,Analytics,15,16,0
A00059,2025-01-31,API,7,23,0
A00060,2025-01-31,Automation,7,6,0
A00061,2025-01-31,Premium Support,7,15,0
A00062,2025-01-31,Core,8,12,0
A00063,2025-01-31,Premium Support,7,26,0
A00064,2025-01-31,Analytics,5,5,0
A00065,2025-01-31,Core,9,3,1
A00066,2025-01-31,Automation,9,6,0
A00067,2025-01-31,Automation,4,4,0
A00068,2025-01-31,Core,12,26,0
A00069,2025-01-31,Core,8,8,1
A00070,2025-01-31,Premium Support,6,11,0
A00071,2025-01-31,Premium Support,8,7,0
A00072,2025-01-31,Core,7,25,1
A00073,2025-01-31,Premium Support,9,20,0
A00074,2025-01-31,Premium Support,9,14,0
A00075,2025-01-31,Premium Support,15,24,1
A00076,2025-01-31,Analytics,8,2,0
A00077,2025-01-31,API,5,21,1
A00078,2025-01-31,Premium Support,13,11,0
A00079,2025-01-31,Premium Support,9,11,0
A00080,2025-01-31,Automation,13,4,1
A00081,2025-01-31,Core,11,3,0
A00082,2025-01-31,Core,7,21,1
A00083,2025-01-31,Analytics,8,26,0
A00084,2025-01-31,Core,10,28,0
A00085,2025-01-31,Core,8,7,0
A00086,2025-01-31,Core,6,23,0
A00087,2025-01-31,Automation,8,3,0
A00088,2025-01-31,API,8,24,1
A00089,2025-01-31,API,6,17,1
A00090,2025-01-31,Premium Support,6,26,0
A00091,2025-01-31,API,7,2,1
A00092,2025-01-31,API,6,24,0
A00093,2025-01-31,Analytics,9,14,0
A00094,2025-01-31,API,9,17,0
A00095,2025-01-31,Core,9,16,0
A00096,2025-01-31,API,9,22,0
A00097,2025-01-31,Premium Support,4,18,1
A00098,2025-01-31,API,7,12,0
A00099,2025-01-31,Analytics,5,13,0
A00100,2025-01-31,Automation,9,2,0
A00101,2025-01-31,Premium Support,7,22,0
A00102,2025-01-31,API,8,21,0
A00103,2025-01-31,Analytics,13,17,0
A00104,2025-01-31,Automation,10,22,0
A00105,2025-01-31,Core,9,8,1
A00106,2025-01-31,Premium Support,8,6,0
A00107,2025-01-31,Analytics,6,28,2
A00108,2025-01-31,Analytics,6,29,0
A00109,2025-01-31,Automation,7,26,1
A00110,2025-01-31,Core,2,1,0
A00111,2025-01-31,Analytics,10,17,1
A00112,2025-01-31,Core,4,22,2
A00113,2025-01-31,Analytics,7,1,0
A00114,2025-01-31,API,3,30,1
A00115,2025-01-31,Core,6,24,0
A00116,2025-01-31,Analytics,8,9,0
A00117,2025-01-31,Automation,9,15,2
A00118,2025-01-31,Premium Support,8,28,0
A00119,2025-01-31,Core,4,26,1
A00120,2025-01-31,Automation,3,25,0
A00121,2025-01-31,Core,6,30,0
A00122,2025-01-31,API,6,23,1
A00123,2025-01-31,Premium Support,12,28,0
A00124,2025-01-31,Automation,2,29,0
A00125,2025-01-31,Analytics,14,0,0
A00126,2025-01-31,Analytics,7,20,0
A00127,2025-01-31,Automation,10,10,0
A00128,2025-01-31,Premium Support,7,15,0
A00129,2025-01-31,Analytics,7,5,1
A00130,2025-01-31,Core,6,20,1
A00131,2025-01-31,API,7,25,0
A00132,2025-01-31,Automation,9,12,1
A00133,2025-01-31,API,8,21,0
A00134,2025-01-31,Premium Support,9,10,0
A00135,2025-01-31,Premium Support,8,23,0
A00136,2025-01-31,Automation,6,2,0
A00137,2025-01-31,Core,4,27,2
A00138,2025-01-31,Premium Support,5,11,1
A00139,2025-01-31,Automation,11,15,0
A00140,2025-01-31,Analytics,11,24,0
A00141,2025-01-31,API,9,0,1
A00142,2025-01-31,Premium Support,9,29,1
A00143,2025-01-31,Premium Support,11,19,0
A00144,2025-01-31,API,12,30,1
A00145,2025-01-31,Core,13,17,1
A00146,2025-01-31,Automation,8,6,0
A00147,2025-01-31,Automation,12,18,0
A00148,2025-01-31,Core,7,17,1
A00149,2025-01-31,Premium Support,8,28,0
A00150,2025-01-31,Analytics,2,17,0
A00151,2025-01-31,Premium Support,6,12,1
A00152,2025-01-31,API,10,5,1
A00153,2025-01-31,Analytics,3,10,0
A00154,2025-01-31,Core,7,18,1
A00155,2025-01-31,Core,10,11,0
A00156,2025-01-31,Automation,11,11,0
A00157,2025-01-31,Analytics,12,0,0
A00158,2025-01-31,Premium Support,7,29,0
A00159,2025-01-31,Analytics,9,25,0
A00160,2025-01-31,Premium Support,6,7,0
A00161,2025-01-31,Premium Support,9,4,1
A00162,2025-01-31,Core,6,25,0
A00163,2025-01-31,Automation,9,25,2
A00164,2025-01-31,Premium Support,5,27,0
A00165,2025-01-31,Analytics,6,16,0
A00166,2025-01-31,Core,10,22,0
A00167,2025-01-31,Premium Support,7,22,0
A00168,2025-01-31,API,7,6,0
A00169,2025-01-31,Core,18,16,0
A00170,2025-01-31,Premium Support,4,8,0
A00171,2025-01-31,Automation,11,23,0
A00172,2025-01-31,Core,3,30,1
A00173,2025-01-31,Analytics,5,2,0
A00174,2025-01-31,Core,4,2,0
A00175,2025-01-31,Premium Support,8,8,0
A00176,2025-01-31,Core,6,3,1
A00177,2025-01-31,Automation,8,0,1
A00178,2025-01-31,API,5,30,1
A00179,2025-01-31,API,2,18,0
A00180,2025-01-31,Premium Support,14,24,0
A00181,2025-01-31,Premium Support,10,17,1
A00182,2025-01-31,Core,8,23,0
A00183,2025-01-31,Core,10,21,3
A00184,2025-01-31,Core,7,4,2
A00185,2025-01-31,Automation,7,4,0
A00186,2025-01-31,API,12,15,1
A00187,2025-01-31,Core,4,11,0
A00188,2025-01-31,Analytics,8,26,1
A00189,2025-01-31,API,6,9,0
A00190,2025-01-31,Automation,6,10,0
A00191,2025-01-31,Analytics,9,16,0
A00192,2025-01-31,Premium Support,14,5,0
A00193,2025-01-31,Premium Support,7,26,0
A00194,2025-01-31,Automation,13,0,0
A00195,2025-01-31,API,12,26,0
A00196,2025-01-31,Premium Support,6,19,0
A00197,2025-01-31,Automation,8,27,0
A00198,2025-01-31,API,9,9,0
A00199,2025-01-31,API,11,27,0
A00200,2025-01-31,Premium Support,9,26,0
