account_id,date,csat_score,comment_sentiment_score
A00001,2023-01-22,7.6,0.59
A00001,2023-02-19,8.7,0.55
A00001,2023-03-28,6.2,0.4
A00001,2023-04-30,5.3,0.54
A00001,2023-05-29,6.4,0.27
A00001,2023-06-23,8.1,0.57
A00001,2023-07-26,7.4,0.25
A00001,2023-08-31,9.6,0.31
A00001,2023-09-24,7.9,0.73
A00001,2023-10-27,6.4,0.25
A00001,2023-11-23,6.9,0.22
A00001,2023-12-28,8.0,0.31
A00001,2024-01-31,6.8,0.31
A00001,2024-02-27,4.9,0.39
A00001,2024-03-26,8.1,0.57
A00001,2024-04-21,9.1,0.58
A00001,2024-05-30,5.1,0.64
A00001,2024-06-26,7.5,0.21
A00001,2024-07-25,6.3,0.57
A00001,2024-08-26,7.5,0.11
A00001,2024-09-24,7.6,0.4
A00001,2024-10-25,8.8,0.39
A00001,2024-11-27,6.3,0.61
A00001,2024-12-27,6.0,-0.09
A00002,2023-01-25,7.2,0.71
A00002,2023-02-25,9.7,0.94
A00002,2023-03-22,9.0,0.9
A00002,2023-04-25,6.9,0.72
A00002,2023-05-24,5.8,0.35
A00002,2023-06-24,6.6,0.86
A00002,2023-07-22,8.0,0.46
A00002,2023-08-29,7.8,0.04
A00002,2023-09-25,8.2,0.2
A00002,2023-10-30,7.1,1.38
A00002,2023-11-21,9.6,0.33
A00002,2023-12-28,6.7,0.58
A00002,2024-01-30,9.2,0.53
A00002,2024-02-22,9.1,0.42
A00002,2024-03-29,8.1,0.75
A00002,2024-04-22,8.6,0.66
A00002,2024-05-25,9.3,1.01
A00002,2024-06-22,8.7,0.9
A00002,2024-07-28,8.0,0.5
A00002,2024-08-26,8.5,0.63
A00002,2024-09-23,8.3,0.37
A00002,2024-10-24,6.7,0.48
A00002,2024-11-27,8.2,0.99
A00002,2024-12-23,9.0,0.85
A00003,2023-01-24,7.9,0.37
A00003,2023-02-20,7.6,0.37
A00003,2023-03-25,8.4,0.83
A00003,2023-04-29,6.6,0.64
A00003,2023-05-26,8.2,0.34
A00003,2023-06-30,8.2,0.47
A00003,2023-07-30,8.6,0.56
A00003,2023-08-31,7.5,0.94
A00003,2023-09-27,7.7,0.18
A00003,2023-10-26,8.3,0.53
A00003,2023-11-29,9.8,1.15
A00003,2023-12-31,8.9,0.73
A00003,2024-01-25,9.0,0.59
A00003,2024-02-20,8.2,0.44
A00003,2024-03-27,8.1,0.36
A00003,2024-04-30,10.0,0.34
A00003,2024-05-28,8.7,0.77
A00003,2024-06-26,8.3,1.13
A00003,2024-07-26,8.8,0.83
A00003,2024-08-24,9.6,0.77
A00003,2024-09-30,8.4,1.07
A00003,2024-10-22,8.3,0.76
A00003,2024-11-26,8.6,0.63
A00003,2024-12-27,9.0,0.39
A00004,2023-01-31,6.6,0.84
A00004,2023-02-22,8.6,0.28
A00004,2023-03-30,8.0,0.31
A00004,2023-04-27,7.8,0.54
A00004,2023-05-28,8.2,0.72
A00004,2023-06-25,7.7,0.66
A00004,2023-07-23,9.0,1.03
A00004,2023-08-31,8.4,1.01
A00004,2023-09-22,6.4,0.36
A00004,2023-10-30,7.1,0.8
A00004,2023-11-27,6.7,0.37
A00004,2023-12-30,7.8,0.91
A00004,2024-01-24,8.1,0.52
A00004,2024-02-29,6.6,0.77
A00004,2024-03-24,7.5,0.64
A00004,2024-04-22,8.6,0.43
A00004,2024-05-31,7.3,0.16
A00004,2024-06-29,8.6,0.51
A00004,2024-07-28,7.7,0.43
A00004,2024-08-31,7.4,0.83
A00004,2024-09-22,8.4,0.56
A00004,2024-10-24,7.0,0.62
A00004,2024-11-26,5.8,0.51
A00004,2024-12-27,5.7,0.23
A00005,2023-01-26,5.7,0.36
A00005,2023-02-23,6.0,0.19
A00005,2023-03-24,6.6,0.43
A00005,2023-04-25,5.8,0.69
A00005,2023-05-22,7.4,-0.04
A00005,2023-06-22,7.8,-0.05
A00005,2023-07-25,5.8,-0.04
A00005,2023-08-29,6.7,0.23
A00005,2023-09-21,6.5,0.79
A00005,2023-10-27,6.3,-0.38
A00005,2023-11-21,5.7,-0.34
A00005,2023-12-29,5.6,-0.02
A00005,2024-01-22,7.0,-0.05
A00005,2024-02-25,6.8,0.19
A00005,2024-03-23,7.1,0.63
A00005,2024-04-26,7.4,-0.21
A00005,2024-05-28,6.5,-0.06
A00005,2024-06-29,6.7,0.25
A00005,2024-07-30,7.0,0.17
A00005,2024-08-22,9.6,0.25
A00005,2024-09-25,4.7,0.25
A00005,2024-10-31,5.7,0.62
A00005,2024-11-28,7.3,0.09
A00005,2024-12-31,5.1,0.44
A00006,2023-01-31,8.2,0.64
A00006,2023-02-26,6.3,0.73
A00006,2023-03-24,8.3,0.48
A00006,2023-04-22,9.3,0.51
A00006,2023-05-31,8.1,0.9
A00006,2023-06-24,7.1,0.45
A00006,2023-07-27,7.0,1.2
A00006,2023-08-27,6.3,0.72
A00006,2023-09-28,7.9,0.92
A00006,2023-10-22,7.6,0.45
A00006,2023-11-26,9.0,0.93
A00006,2023-12-29,7.6,1.08
A00006,2024-01-22,6.2,0.3
A00006,2024-02-28,7.6,0.44
A00006,2024-03-28,8.7,0.61
A00006,2024-04-23,7.0,0.31
A00006,2024-05-26,8.9,0.88
A00006,2024-06-22,7.9,0.62
A00006,2024-07-25,7.5,0.81
A00006,2024-08-26,9.4,0.55
A00006,2024-09-25,8.7,0.15
